date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Jan 3, 2017 3:22:43 PM PST",6257305731,FBA Inventory Fee,161227145A,,FBA Removal Order: Return Fee,,Amazon.com,,,,,0,0,0,0,0,0,0,0,-1,-1
"Jan 3, 2017 3:42:15 PM PST",6257305731,Order,002-6783899-8613863,J8006-BLACK-S,Annabelle Women's Long Sleeve Comfy Tie Dye Harem Jumpsuit Romper with Pockets Black Small J8006,1,amazon.com,Amazon,WEATHERFORD,TX,76088-3312,24.47,0,0,0,0,-3.67,-3.42,0,0,17.38
"Jan 3, 2017 3:42:52 PM PST",6257305731,Order,115-7882823-1940231,T1045-BLACK-L,Women's Suede Poncho Fringe Jackets Black Large T1045,1,amazon.com,Amazon,Odessa,Texas,79761,27.97,0,0,0,0,-4.2,-4.41,0,0,19.36
"Jan 3, 2017 4:06:47 PM PST",6257305731,Order,113-0237877-3706628,T1020-BLACK-M,Women's High Low Jersey Tunic Tops Black Medium T1020,1,amazon.com,Amazon,DAVIE,FL,33314-7107,19.57,0,0,0,0,-2.94,-3.42,0,0,13.21
"Jan 3, 2017 4:09:51 PM PST",6257305731,Order,105-9556560-4189821,J8006-BLACK-S,Annabelle Women's Long Sleeve Comfy Tie Dye Harem Jumpsuit Romper with Pockets Black Small J8006,1,amazon.com,Amazon,SAN ANTONIO,TX,78248-1359,24.47,0,0,0,0,-3.67,-3.42,0,0,17.38
"Jan 3, 2017 4:26:23 PM PST",6257305731,Refund,113-6030663-9827466,J8002-BURGUNDY-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Burgundy Medium J8002,1,amazon.com,Amazon,Lexington,KY,40502,-22.95,0,0,0,0,2.75,0,0,0,-20.2
"Jan 3, 2017 5:27:43 PM PST",6257305731,Order,111-4028611-7937862,D5012-TOMATORED-L,Annabelle Women's Solid Color Convertible Multiway Maxi Dresses Tomato Red Large,1,amazon.com,Amazon,Kansas City,KS,66104,24.47,0,0,0,0,-3.67,-4.41,0,0,16.39
"Jan 3, 2017 5:35:05 PM PST",6257305731,Order,115-7560652-4758665,J8004-MGREY-S,Annabelle Women's Comfy Rayon Solid Color Sleeveless Harem Jumpsuits Charcoal Mid Grey Small J8004,1,amazon.com,Amazon,Cranston,Rhode Island,2920,17.47,0,0,0,0,-2.62,-3.42,0,0,11.43
"Jan 3, 2017 7:29:09 PM PST",6257305731,FBA Customer Return Fee,107-1247689-3847464,,FBA Customer Return Per Order Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1,0,0,-1
"Jan 3, 2017 7:29:09 PM PST",6257305731,FBA Customer Return Fee,107-1247689-3847464,,FBA Customer Return Per Unit Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.46,0,0,-1.46
